"label"	"p1"	"p2"	"score"
"pos"	"X accompani Y"	"X accompani by Y"	"0.3284658981868476"
"pos"	"X accompani by Y"	"X accompani Y"	"0.3284658981868476"
"pos"	"X accompani by Y"	"X associ with Y"	"0.3137119735771778"
"pos"	"X associ with Y"	"X accompani by Y"	"0.3137119735771778"
"pos"	"X accompani by Y"	"X accompani with Y"	"0.2869895917893755"
"pos"	"X accompani with Y"	"X accompani by Y"	"0.28698959178937544"
"pos"	"X attend with Y"	"X accompani by Y"	"0.27868660531696515"
"pos"	"X accompani by Y"	"X attend with Y"	"0.27868660531696504"
"pos"	"X accompani Y"	"X associ with Y"	"0.23403562976757195"
"pos"	"X associ with Y"	"X accompani Y"	"0.23403562976757195"
"pos"	"X associ with Y"	"X attribut to Y"	"0.2196908801045202"
"pos"	"X attribut to Y"	"X associ with Y"	"0.2196908801045202"
"pos"	"X associ with Y"	"X attend with Y"	"0.14353975788816256"
"pos"	"X attend with Y"	"X associ with Y"	"0.14353975788816248"
"pos"	"X attack Y"	"X affect Y"	"0.14224122323735366"
"pos"	"X associ with Y"	"X accompani with Y"	"0.12498339960862978"
"pos"	"X accompani with Y"	"X associ with Y"	"0.12498339960862968"
"pos"	"X caus Y"	"X attend with Y"	"0.00436380696688882"
"pos"	"X caus Y"	"X aggrav Y"	"0.003059470443848165"
"pos"	"X aggrav Y"	"X caus Y"	"0.003059470443848165"
"pos"	"X caus Y"	"X accompani by Y"	"0.002681173837726481"
"pos"	"X caus Y"	"X affect Y"	"7.812381192537604E-4"
"pos"	"X afford Y"	"X provid Y"	"6.172424995330878E-4"
"pos"	"X provid Y"	"X afford Y"	"6.172424995330878E-4"
"pos"	"X offer Y"	"X afford Y"	"5.823685256339992E-4"
"pos"	"X afford Y"	"X offer Y"	"5.823685256339992E-4"
"pos"	"X manag with Y"	"Y allevi X"	"0.0"
"pos"	"X suggest Y"	"Y result in X"	"0.0"
"pos"	"X contract Y"	"X have Y"	"0.0"
"pos"	"X occur with Y"	"Y present with X"	"0.0"
"pos"	"X start befor Y"	"X give befor Y"	"0.0"
"pos"	"X obtain with Y"	"Y provid X"	"0.0"
"pos"	"X give for Y"	"Y correct by X"	"0.0"
"pos"	"X give for Y"	"X administ for Y"	"0.0"
"pos"	"X elimin Y"	"Y affect by X"	"0.0"
"pos"	"X contribut to Y"	"X produc Y"	"0.0"
"pos"	"X defin as Y"	"X impli Y"	"0.0"
"pos"	"X associ with Y"	"X find in Y"	"0.0"
"pos"	"X provid Y"	"X induc Y"	"0.0"
"pos"	"X offer Y"	"Y obtain with X"	"0.0"
"pos"	"X attack with Y"	"X have Y"	"0.0"
"pos"	"X control by Y"	"Y prescrib for X"	"0.0"
"pos"	"X occur in Y"	"Y infect with X"	"0.0"
"pos"	"X offer Y"	"Y achiev with X"	"0.0"
"pos"	"X caus by Y"	"Y develop into X"	"0.0"
"pos"	"X requir Y"	"Y need for X"	"0.0"
"pos"	"X caus Y"	"X follow by Y"	"0.0"
"pos"	"X be of Y"	"X have Y"	"0.0"
"pos"	"X give Y"	"Y achiev with X"	"0.0"
"pos"	"X follow Y"	"X attribut to Y"	"0.0"
"pos"	"X caus Y"	"X develop Y"	"0.0"
"pos"	"X occur in Y"	"Y suggest X"	"0.0"
"pos"	"X result in Y"	"Y occur with X"	"0.0"
